lid	did	sample_id	animal_id	sex	birth_date	collection_date	extraction_date	age	batch
LID_103941	DID_1003676	PT108000	0K1	m	10/11/09	10/20/16	6/13/19	7.015721121	2
LID_105491	DID_1003632	PT204227	0Q5	f	12/29/12	12/13/18	6/11/19	5.946684894	2
LID_101345	DID_1001170	NA	1E2	F	10/17/06	11/27/12	11/27/12	6.105263158	1
LID_103946	DID_1003681	PT206134	1T7	f	7/22/14	12/5/18	6/13/19	4.366370472	2
LID_101354	DID_1001180	NA	2F2	F	11/19/07	11/27/12	11/28/12	5.017088175	1
LID_105503	DID_1003679	PT206287	2T5	f	8/14/14	12/5/18	6/13/19	4.303485988	2
LID_104001	DID_1003527	PT101618	3A6	m	11/7/04	11/1/16	6/5/19	11.9671907	2
LID_103816	DID_1003514	PT103097	3A9	f	11/21/04	12/15/16	6/5/19	12.04921394	2
LID_105480	DID_1003578	PT100508	3N4	f	10/11/11	10/26/16	6/10/19	5.036226931	2
LID_105461	DID_1003502	PT103301	3R7	m	8/19/13	12/14/16	6/4/19	3.316473001	2
LID_103911	DID_1003646	PT206440	3T9	f	7/18/14	12/13/18	6/11/19	4.399179768	2
LID_101353	DID_1001179	NA	4D8	F	9/29/06	1/23/13	1/23/13	6.310321258	1
LID_105502	DID_1003678	PT202442	4F1	f	10/16/07	12/4/18	6/13/19	11.11961722	2
LID_105475	DID_1003564	PT100712	4Q6	f	8/5/13	10/24/16	6/7/19	3.215311005	2
LID_103919	DID_1003654	PT205859	4R7	m	9/14/13	12/12/18	6/13/19	5.235816815	2
LID_101361	DID_1001189	NA	50P	M	3/20/01	12/12/12	12/13/12	11.71565277	1
LID_101398	DID_1001228	NA	53Z	F	11/1/04	12/3/13	12/3/13	9.074504443	1
LID_103811	DID_1003503	PT103862	5I9	f	10/26/09	12/14/16	6/4/19	7.125085441	2
LID_105463	DID_1003504	PT103913	5J6	f	11/2/09	12/14/16	6/4/19	7.105946685	2
LID_105498	DID_1003653	PT205910	5Q7	f	8/13/13	12/3/18	6/11/19	5.298701299	2
LID_101422	DID_1001256	NA	60R	F	12/3/01	1/26/12	1/26/12	10.13260424	1
LID_104052	DID_1001288	NA	63V	f	11/1/03	3/2/11	3/2/11	7.321941217	2
LID_105460	DID_1001302	NA	6F6	m	11/22/07	1/27/11	1/27/11	3.177033493	2
LID_105483	DID_1003582	PT108036	6R4	f	8/23/13	10/20/16	6/10/19	3.155160629	2
